Kuoreveden Kotkat ry;9999648;Kolo, Kuoreveden koulu;Lentokentäntie;;;;61.8605197;24.8227532
Kurun Kontiot ry;9999653;Kurun seurakuntatalo;Kirkkotie 1;34300;KURU;;61.876038;23.723454
Kurun Kontiot ry;9999653;Kurun seurakuntatalo;Kirkkotie 1;34300;KURU;;61.876038;23.723454
Kymen Vartiot ry;9999137;Pesä;Pappilankuja 2c;18100;Heinola;;61.202652;26.037834
Kymen Vartiot ry;9999137;Pesä;Pappilankuja 2c;18100;Heinola;;61.202652;26.037834
Kyynärön Kiertäjät ry;9999654;Kuljun vanha seurakuntatalo;Seurakuntatalontie 12;37560;Lempäälä;;61.3850708;23.7749263
Kyynärön Kiertäjät ry;9999654;Kuljun vanha seurakuntatalo;Seurakuntatalontie 12;37560;Lempäälä;;61.3850708;23.7749263
Kärkölän Kärpät ry;9999139;Seurakuntakeskus;Sammalistontie 1;16600;Järvelä;;60.87288;25.272637
Kärkölän Kärpät ry;9999139;Seurakuntakeskus;Sammalistontie 1;16600;Järvelä;;60.87288;25.272637
Lahden Katajaiset ry;9999141;KESKUSTA;Kirkkokatu 7;15110;Lahti;;60.985173;25.655945
Lahden Katajaiset ry;9999141;KESKUSTA;Kirkkokatu 7;15110;Lahti;;60.985173;25.655945
Lahden Katajaiset ry;9999141;ANKKURIN SEURAKUNTAKOTI;Laiturikatu 1;15140;Lahti;;60.995654;25.6543
Lahden Katajaiset ry;9999141;ANKKURIN SEURAKUNTAKOTI;Laiturikatu 1;15140;Lahti;;60.995654;25.6543
Lahden Katajaiset ry;9999141;MUKKULAN KIRKKO;Kilpiäistentie 1;15240;Lahti;;61.016921;25.667249
Lahden Katajaiset ry;9999141;MUKKULAN KIRKKO;Kilpiäistentie 1;15240;Lahti;;61.016921;25.667249
Lahden Siniset ry;9999143;Kirkkokatu 7, sisäänkäynti Mariankadun puolelta;Kirkkokatu 7;15110;Lahti;;60.985115;25.656445
Lahden Siniset ry;9999143;Kirkkokatu 7, sisäänkäynti Mariankadun puolelta;Kirkkokatu 7;15110;Lahti;;60.985115;25.656445
Lahden Versot ry;9999146;Versonpesä, Vapaaseurakunta;Humpulankatu 15;15100;Lahti;;60.981809;25.647677
Lahden Versot ry;9999146;Versonpesä, Vapaaseurakunta;Humpulankatu 15;15100;Lahti;;60.981809;25.647677
Lammin Evonkävijät ry;9999157;Turvantalo;Mommilantie 7;16900;Lammi;;61.080865;25.017765
Lammin Evonkävijät ry;9999157;Turvantalo;Mommilantie 7;16900;Lammi;;61.080865;25.017765
Launeen Lähdesiskot ry;9999147;Launeen kirkko, Kolo;Tapparakatu 22;15700;Lahti;;60.968817;25.643764
Launeen Lähdesiskot ry;9999147;Launeen kirkko, Kolo;Tapparakatu 22;15700;Lahti;;60.968817;25.643764
Lentävän Samoojat ry;9999651;Lentävän samoojat;Männistönkuja 2;33410;Tampere;;61.527378;23.703111
Lentävän Samoojat ry;9999651;Lentävän samoojat;Männistönkuja 2;33410;Tampere;;61.527378;23.703111
Liekkitytöt ry;9999621;Poltinahon seurakuntatalo;Matti Alangon katu 31 F;13130;Hämeenlinna;;60.991739;24.440111
Loimaan Nuotioloimut;9999297;Kolo;Juvantie 11;32200;Loimaa;;60.857478;23.02426
Loimaan Saviset ry;9999298;;Opintie;32210;Loimaa;;60.869821;22.979324
Lähteen Vartijat ry;9999148;Launeen kirkko, Kolo;Tapparakatu 22;15700;Lahti;;60.968898;25.643205
Lähteen Vartijat ry;9999148;Launeen kirkko, Kolo;Tapparakatu 22;15700;Lahti;;60.968898;25.643205
Marjatat ja Mikon Pojat ry;9999305;Partiokolo;Turuntie 8;31400;Somero;;60.633555;23.508848
Mellilän Menninkäiset ry;9999310;Menninkäisten kolo;Asemantie 14;32300;Mellilä;;60.781369;22.926072
Messukylän Metsäpojat ry;9999655;Takahuhdin Seurakuntatalo;Tanhuankatu 40;33560;Tampere;;61.491089;23.8615205
Messukylän Metsäpojat ry;9999655;Messukylän seurakuntakoti;Messukylänkatu 36;33700;Tampere;;61.485729;23.83891
Messukylän Metsäpojat ry;9999655;Messukylän seurakuntakoti;Messukylänkatu 36;33700;Tampere;;61.485729;23.83891
Messukylän Metsätytöt ry;9999656;Toimisto;Tanhuankatu 40;33560;Tampere;;61.491359;23.862825
Messukylän Metsätytöt ry;9999656;Toimisto;Tanhuankatu 40;33560;Tampere;;61.491359;23.862825
Messukylän Metsätytöt ry;9999656;Messukylän srk-talo;Messukylänkatu 36;33700;Tampere;;61.486097;23.839212
Messukylän Metsätytöt ry;9999656;Messukylän srk-talo;Messukylänkatu 36;33700;Tampere;;61.486097;23.839212
Myllykylän Harjuvuokot ry;9999150;Sinilähteen seurakuntatalo;Karjalankatu 24;18100;HEINOLA;;61.181732;25.991399
Myllykylän Harjuvuokot ry;9999150;Sinilähteen seurakuntatalo;Karjalankatu 24;18100;HEINOLA;;61.181732;25.991399
Mäntänvuoren Partiolaiset ry;9999659;Mäntän Seurakuntatalo;Kirkkokatu 6;35800;Mänttä;;62.027655;24.621583
Mäntänvuoren Partiolaiset ry;9999659;Mäntän Seurakuntatalo;Kirkkokatu 6;35800;Mänttä;;62.027655;24.621583
Nastapartio ry;9999152;Partiotoimisto;Immiläntie 2;15560;NASTOLA;;60.948131;25.93468
Nastapartio ry;9999152;Partiotoimisto;Immiläntie 2;15560;NASTOLA;;60.948131;25.93468
Niihaman Saukot ry;9999660;Vehmaisten srk-talo;Kauppilaisenkatu 26;33730;TAMPERE;;61.477207;23.917794
Niihaman Saukot ry;9999660;Vehmaisten srk-talo;Kauppilaisenkatu 26;33730;TAMPERE;;61.477207;23.917794
Nokian Eräveikot ry;9999661;Koskenmäki-talo;Orelinkatu 8;37120;Nokia;;61.466383;23.498092
Nokian Eräveikot ry;9999661;Koskenmäki-talo;Orelinkatu 8;37120;Nokia;;61.466383;23.498092
Nokian Eräveikot ry;9999661;Vahalahden koulu;Sarkolantie 476;37180;Sarkola;;61.418452;23.256008
Nokian Eräveikot ry;9999661;Vahalahden koulu;Sarkolantie 476;37180;Sarkola;;61.418452;23.256008
Nokian Partiotytöt ry;9999662;Harjuniityn koulun alakerta;Lautamiehenkatu 1;37140;Nokia;;61.471599;23.452186
Nokian Partiotytöt ry;9999662;Harjuniityn koulun alakerta;Lautamiehenkatu 1;37140;Nokia;;61.471599;23.452186
Nummen Eränkävijät ry;9999663;Rantatien kerhotila;Rantatie 13 O;13300;Hämeenlinna;;60.969981;24.5488878
Nummen Eränkävijät ry;9999663;Rantatien kerhotila;Rantatie 13 O;13300;Hämeenlinna;;60.969981;24.5488878
Nummen Eränkävijät ry;9999663;Lintukoto;Eeronkuja 5;13500;Hämeenlinna;;60.983596;24.418686
Nummen Eränkävijät ry;9999663;Loimalahden kolo;Tervaniementie;13500;Hämeenlinna;;60.967279;24.382687
Nummen Eränkävijät ry;9999663;Lintukoto;Eeronkuja 5;13500;Hämeenlinna;;60.983596;24.418686
Nummen Eränkävijät ry;9999663;Loimalahden kolo;Tervaniementie;13500;Hämeenlinna;;60.967279;24.382687
Näsijärven Kipinät ry;10715230;Tammelan koulu;Ilmarinkatu 17;33500;Tampere;;61.5009151;23.7806281
Näsijärven Kipinät ry;10715230;Tammelan koulu;Ilmarinkatu 17;33500;Tampere;;61.5009151;23.7806281
Näsin Tytöt ry;9999664;Kyttälä;Kyttälänkatu 1 F;33100;Tampere;;61.499328;23.767449
Näsin Tytöt ry;9999664;Kyttälä;Kyttälänkatu 1 F;33100;Tampere;;61.499328;23.767449
Orimattilan Samoilijat ry;9999154;Seurakuntakoti;Kirkkopuisto 1;16300;Orimattila;;60.809526;25.735055
Orimattilan Samoilijat ry;9999154;Seurakuntakoti;Kirkkopuisto 1;16300;Orimattila;;60.809526;25.735055
Orimattilan Samoilijat ry;9999154;Nuorela;Keiturintie 56;16510;Luhtikylä;;60.857938;25.483292
Orimattilan Samoilijat ry;9999154;Nuorela;Keiturintie 56;16510;Luhtikylä;;60.857938;25.483292
Oriveden Eräsudet ry;9999665;Seurakuntatalo;Latokartanontie 5;35300;Orivesi;;61.67583;24.359476
Oriveden Eräsudet ry;9999665;Seurakuntatalo;Latokartanontie 5;35300;Orivesi;;61.67583;24.359476
Otsolan Pojat ja Tytöt;9999667;Vilppulan Seurakuntakeskus;Suomelantie 1;35700;Mänttä-Vilppula;;62.016904;24.511269
Padaspartio ry;9999153;Nuorisotoimisto, Seurakuntatalo;Uimalantie 2;17500;Padasjoki;;61.3545946;25.2736537
Padaspartio ry;9999153;Nuorisotoimisto, Seurakuntatalo;Uimalantie 2;17500;Padasjoki;;61.3545946;25.2736537
Parolan Eräveikot ry;9999668;Parolan nuorisotalo Taidetila;Parolantie 53;13720;Parola;;61.052644;24.366057
Parolan Eräveikot ry;9999668;Parolan nuorisotalo Taidetila;Parolantie 53;13720;Parola;;61.052644;24.366057
Pertun Tähkäpartio ry;9999519;Nuorisotalo;Juhlakuja 1;19430;Pertunmaa;;61.51539;26.484534
Pirjetan Partio ry;9999156;Kirkonkylän kolo, kirkkoherranviraston alakerta;Pilpalantie 3;12700;Loppi;;60.716321;24.440142
Pirjetan Partio ry;9999156;Kuusela;Opintie 1;12700;Loppi;;60.716593;24.446573
Pirjetan Partio ry;9999156;Kirkonkylän kolo, kirkkoherranviraston alakerta;Pilpalantie 3;12700;Loppi;;60.716321;24.440142
Pirjetan Partio ry;9999156;Kuusela;Opintie 1;12700;Loppi;;60.716593;24.446573
Pirjetan Partio ry;9999156;Liitontalo;Rautakoskentie 2078;12750;Pilpala;;60.623608;24.273362
Pirjetan Partio ry;9999156;Liitontalo;Rautakoskentie 2078;12750;Pilpala;;60.623608;24.273362
Pirkan Pojat ry;9999669;Pirkan Poikien Kolo;Lautamiehenkatu 1;37140;Nokia;;61.471473;23.451339
Pirkan Pojat ry;9999669;Pirkan Poikien Kolo;Lautamiehenkatu 1;37140;Nokia;;61.471473;23.451339
Pirkkalan Pirkot ry;9999670;Kirkko;Perkiöntie 40;33960;Pirkkala;;61.464021;23.635859
